id,created_at,text
1094388889433849856,2019-02-10 00:13:38,"@henrique_volpi @tinarloch @falanext #NextHell: Fazendo um inferno acontercer.
Era bom todo mundo que tem problema… https://t.co/8JOmCHe9gu"
1094389066106368000,2019-02-10 00:14:20,@victorm_so @falanext Bem vindo a #NextHell: Fazendo um inferno acontecer.
1094389801195843585,2019-02-10 00:17:16,"@maugustofs @falanext Se não for uma frase meia boca, não é #NextHell. Porque eles sempre vem com desculpas, soluçõ… https://t.co/cghfkIqf9X"
1094390055580418048,2019-02-10 00:18:16,Meu cartão da @falanext chegou https://t.co/YlIxUOORMO
1094390207850389504,2019-02-10 00:18:52,@tinarloch @itsdhiogo21 @falanext Olha mais uma pessoa reclamando. #NextHell: Fazendo um inferno acontecer.
1094390899814121473,2019-02-10 00:21:37,"@deggau @falanext Espera até precisar do Atendimento deles. Você vai ser atendido por Bia no Chat, Bia no Whatsapp,… https://t.co/Ak2j9rALZB"
1094390912136953856,2019-02-10 00:21:40,"@nubank @JonasVyktor Tem 3 anos que o @nubank esta prometendo o @SamsungPay 

Para quem é aficionado em tecnologia… https://t.co/UULztTjIIu"
1094391922687397888,2019-02-10 00:25:41,@falanext Bem vindo a #NextHell: Fazendo um inferno acontecer.
1094391984561770497,2019-02-10 00:25:56,@falanext Bem vindo a #NextHell: Fazendo um inferno acontecer.
1094392032410386432,2019-02-10 00:26:08,@falanext Bem vindo a #NextHell: Fazendo um inferno acontecer.
1094392061179121666,2019-02-10 00:26:14,@falanext Bem vindo a #NextHell: Fazendo um inferno acontecer.
1094393590040670208,2019-02-10 00:32:19,"@Amjacquez @falanext Também quero :/ 
Ela pode vir junto com a Fatura ♥️😁
Gente, melhor banco do mundo ♥️"
1094398933277818883,2019-02-10 00:53:33,"Ontem usando meus mimos do @falanext junto ao @iFood, juro que eu fiquei surpreso c/ a rapidez e eficiência do… https://t.co/F88yj75IO1"
1094399768317562881,2019-02-10 00:56:52,"Ainda falando sobre meus #Mimos do #BancoNext, eu realmente fiquei muito surpreso como o conjunto funcionou incrive… https://t.co/5BNlOjjcnE"
1094404955140747265,2019-02-10 01:17:29,"Bem que @Bancointer @nubank @falanext ou @DeezerBR poderiam me mandar um fone de ouvido de presente, né? Nunca vos pedi nada 😏"
1094406603808362496,2019-02-10 01:24:02,@bellecaralho @falanext Pode deixar
1094442104305209350,2019-02-10 03:45:06,E a punição do @falanext continua... https://t.co/ccgCgnODQw
1094455232002703365,2019-02-10 04:37:15,"RT @Radarbarone: Ainda falando sobre meus #Mimos do #BancoNext, eu realmente fiquei muito surpreso como o conjunto funcionou incrivelmente.…"
1094455246422724608,2019-02-10 04:37:19,"RT @Radarbarone: Ontem usando meus mimos do @falanext junto ao @iFood, juro que eu fiquei surpreso c/ a rapidez e eficiência do #restaurant…"
1094474860384772096,2019-02-10 05:55:15,@falanext Bom dia como faço para rastrear meu cartão? ?
1094550573439963137,2019-02-10 10:56:07,"@falanext o cartão ficou sendo recusado várias vezes sem motivo aparente (estava desbloqueado), precisei usar outro"
1094580136261898240,2019-02-10 12:53:35,"@falanext crédito, acabei de falar com eles e estou aguardando resposta"
1094584327873220610,2019-02-10 13:10:14,"Agora que perdi minha carteira e vou ter que refazer os documentos básicos, a @falanext podia me aceitar logo pra e… https://t.co/fgybo1BUye"
1094585672961327104,2019-02-10 13:15:35,"bom dia pra quem obteve ajuda do @falanext na madrugada, quando eu já estava dormindo https://t.co/hb8IDOPK4G"
1094605945760612353,2019-02-10 14:36:08,"RT @vai_eduardo: Quando meu @credicard entrou @GooglePay fiquei muito feliz, ainda mais porque veio com o cartão na horizontal. 

Mas não d…"
1094620679541084160,2019-02-10 15:34:41,@falanext Pode ter uma central de atendimento que funcione.
1094633278731104256,2019-02-10 16:24:45,"Estou a, simplesmente, 33 dias tentando trocar o endereço no cadastro do @falanext e não consigo."
1094634459905822721,2019-02-10 16:29:27,"@falanext uma semana depois de ter feito a proposta de abertura de conta de vocês nada de resposta 🤔 
Pensei que a… https://t.co/40TixQntae"
1094634815201181696,2019-02-10 16:30:51,@falanext você faz uma solicitação de cartão do @nubank eles te responde quase que instantaneamente você depois de… https://t.co/UOhC4Vb3cG
1094636040617451520,2019-02-10 16:35:44,"@falanext não estou conseguindo autorizar meu dispositivo, eu mando a selfie mas não tenho retorno"
1094640263681724416,2019-02-10 16:52:30,@vai_eduardo @ApplePayBR @credicard @GooglePay @falanext Queria Neon no Apple Pay https://t.co/3N3i9h17CW
1094640268198973440,2019-02-10 16:52:32,@falanext @DiegoCarravetta Sei
1094650219088756737,2019-02-10 17:32:04,"@patrickfs99 @Matheusalves_h @nubank Nubank é muitooo complicado de aprovar, vai pra @falanext. Eles sao maravilhos… https://t.co/4SkLjCxCV2"
1094650411062124544,2019-02-10 17:32:50,"@famouxlari @patrickfs99 @nubank @falanext Manoooo, que coincidência da pega, eu precisava de um cartão internacion… https://t.co/q1QHp93Abe"
1094659662962741248,2019-02-10 18:09:36,@falanext A saga continua com o atendimento me procurando por DM e ignorando
1094660480109604864,2019-02-10 18:12:50,"NUNCA façam um cartão no @falanext 
Maior burrada da vida"
1094660756283494404,2019-02-10 18:13:56,RT @falanext: @Radarbarone 👊😎
